record,bullied_in_school,bullied_not_school,cyber_bullied,custom_age,sex,physically_attacked,physical_fighting,felt_lonely,close_friends,missed_school,other_students_kind_and_helpful,parents_understand_problems,most_of_the_time_or_always_felt_lonely,missed_classes,were_underweight,were_overweight,were_obese
1,Yes,Yes,,13 years old,Female,0 times,0 times,Always,2,10 or more days,Never,Always,Yes,Yes,,,
2,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Always,No,No,,,
3,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Always,No,No,No,No,No
4,No,No,No,16 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Sometimes,,No,No,No,No,No
5,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,,,
6,No,No,No,13 years old,Male,0 times,1 time,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
7,No,No,No,14 years old,Female,1 time,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No,,,
8,No,No,No,12 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Never,No,No,,,
9,No,No,No,13 years old,Male,1 time,2 or 3 times,Never,3 or more,6 to 9 days,Most of the time,Most of the time,No,Yes,,,
10,Yes,No,No,14 years old,Female,0 times,0 times,Always,0,0 days,Sometimes,Never,Yes,No,,,
11,No,No,No,15 years old,Male,0 times,1 time,Never,3 or more,3 to 5 days,Most of the time,Always,No,Yes,No,No,No
12,Yes,Yes,Yes,13 years old,Female,12 or more times,1 time,Sometimes,3 or more,0 days,Never,Always,No,No,,,
13,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Never,No,No,,,
14,No,No,No,14 years old,Female,0 times,0 times,Rarely,3 or more,0 days,,,No,No,No,No,No
15,No,No,No,14 years old,Female,0 times,0 times,Most of the time,3 or more,,Sometimes,Never,Yes,,No,No,No
16,No,No,No,13 years old,Female,0 times,1 time,Always,3 or more,0 days,Sometimes,Sometimes,Yes,No,,,
17,No,No,No,11 years old or younger,Male,0 times,0 times,Never,3 or more,0 days,Always,Never,No,No,,,
18,No,No,No,13 years old,Male,0 times,0 times,Never,0,1 or 2 days,Sometimes,,No,Yes,,,
19,Yes,Yes,Yes,14 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Rarely,Most of the time,No,No,,,
20,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Never,Never,No,No,,,
21,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No,,,
22,,No,No,14 years old,Male,0 times,0 times,Never,2,0 days,Rarely,Never,No,No,,,
23,No,No,Yes,13 years old,Male,0 times,2 or 3 times,Most of the time,3 or more,0 days,Rarely,Always,Yes,No,No,No,No
24,No,No,No,14 years old,Male,0 times,2 or 3 times,Most of the time,2,0 days,Always,Sometimes,Yes,No,No,Yes,Yes
25,No,No,No,13 years old,Male,0 times,1 time,Never,3 or more,,Sometimes,Never,No,,,,
26,No,No,No,13 years old,Female,0 times,0 times,Sometimes,0,0 days,Rarely,Sometimes,No,No,,,
